Province_State,Country_Region,Date,Month,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
South Carolina,US,04-12-2020,April,2020-04-12 23:18:15,33.8569,-80.945,3320,82,,3238.0,45.0,65.87334263,31425.0,496.0,2.469879518,84000045,USA,623.5149976,14.93975904
South Dakota,US,04-12-2020,April,2020-04-12 23:18:15,44.2998,-99.4388,730,6,197.0,724.0,46.0,99.19933903,8553.0,43.0,0.8219178079999999,84000046,USA,1162.262941,5.890410959
Tennessee,US,04-12-2020,April,2020-04-12 23:18:15,35.7478,-86.6923,5508,106,1504.0,5402.0,47.0,83.90037425,70677.0,567.0,1.924473493,84000047,USA,1076.584377,10.29411765
Texas,US,04-12-2020,April,2020-04-12 23:18:15,31.0545,-97.5635,13677,283,2014.0,13394.0,48.0,59.50516088,124533.0,1338.0,2.069167215,84000048,USA,541.8115230000001,9.782847116000001
Utah,US,04-12-2020,April,2020-04-12 23:18:15,40.15,-111.8624,2303,18,,2285.0,49.0,80.3592053,44234.0,195.0,0.781589231,84000049,USA,1543.468991,8.467216674
Vermont,US,04-12-2020,April,2020-04-12 23:18:15,44.0459,-72.7107,727,27,15.0,700.0,50.0,119.0649715,9841.0,34.0,3.71389271,84000050,USA,1611.717172,4.676753783000001
Virginia,US,04-12-2020,April,2020-04-12 23:18:15,37.7693,-78.17,5274,141,,5133.0,51.0,66.69845192,39985.0,751.0,2.673492605,84000051,USA,505.6764505,14.23966629
Washington,US,04-12-2020,April,2020-04-12 23:18:15,47.4009,-121.4905,10609,506,,10103.0,53.0,140.5276682,93615.0,642.0,4.769535299999999,84000053,USA,1240.031828,6.051465737000001
West Virginia,US,04-12-2020,April,2020-04-12 23:18:15,38.4912,-80.9545,593,6,83.0,587.0,54.0,44.82244115,16257.0,81.0,1.011804384,84000054,USA,1228.800044,13.65935919
Wisconsin,US,04-12-2020,April,2020-04-12 23:18:15,44.2685,-89.6165,3341,144,,3197.0,55.0,64.56573888,39257.0,974.0,4.3100868,84000055,USA,758.6522632,29.15294822
Wyoming,US,04-12-2020,April,2020-04-12 23:18:15,42.756,-107.3025,270,0,137.0,270.0,56.0,54.29973453,5459.0,40.0,0.0,84000056,USA,1097.860188,14.81481481
American Samoa,US,04-12-2020,April,2020-04-12 23:18:15,-14.271,-170.1322,0,0,,0.0,60.0,0.0,3.0,,,16,ASM,5.391707554,
Northern Mariana Islands,US,04-12-2020,April,2020-04-12 23:18:15,15.0979,145.6739,11,2,,9.0,69.0,19.9477731,38.0,,18.18181818,580,MNP,68.9104889,
Recovered,US,04-12-2020,April,2020-04-13 23:07:54,,,0,0,32988.0,-32988.0,,,,,,84070001,USA,,
Virgin Islands,US,04-12-2020,April,2020-04-13 23:07:54,18.3358,-64.8963,51,1,43.0,50.0,,47.54446806,350.0,3.0,1.960784314,850,VIR,326.2855651,5.882352941000001
Alabama,US,04-13-2020,April,2020-04-13 23:07:54,32.3182,-86.9023,3734,99,,3635.0,1.0,79.63493333293523,29182.0,457.0,2.651312265666845,84000001,USA,622.3638523089759,12.23888591322978
Alaska,US,04-13-2020,April,2020-04-13 23:07:54,61.3707,-152.4044,277,8,85.0,269.0,2.0,46.34052085407085,7830.0,32.0,2.888086642599278,84000002,USA,1309.914362048284,11.55234657039711
American Samoa,US,04-13-2020,April,2020-04-13 23:07:54,-14.271,-170.132,0,0,,,60.0,0.0,3.0,,,16,ASM,5.391707553782283,
Arizona,US,04-13-2020,April,2020-04-13 23:07:54,33.7298,-111.4312,3705,122,,3583.0,4.0,50.90182789082197,43347.0,525.0,3.292847503373819,84000004,USA,595.5307782951309,14.17004048582996
Arkansas,US,04-13-2020,April,2020-04-13 23:07:54,34.9697,-92.3731,1410,29,391.0,1381.0,5.0,54.46061396810462,20804.0,130.0,2.056737588652482,84000005,USA,803.5451155974812,9.21985815602837
California,US,04-13-2020,April,2020-04-13 23:07:54,36.1162,-119.6816,23931,714,,23217.0,6.0,61.03504790528206,190882.0,3015.0,2.987756466507877,84000006,USA,486.8368231271593,12.59872132380594
Colorado,US,04-13-2020,April,2020-04-13 23:07:54,39.0598,-105.3111,7691,306,,7385.0,8.0,135.7200246417166,37534.0,1472.0,3.978676374983747,84000008,USA,662.3476017295789,19.13925367312443
Connecticut,US,04-13-2020,April,2020-04-13 23:07:54,41.5978,-72.7554,13381,602,,12779.0,9.0,375.3134039419547,44309.0,1760.0,4.498916373963082,84000009,USA,1242.789149933792,13.15297810328077
Delaware,US,04-13-2020,April,2020-04-13 23:07:54,39.3185,-75.5071,1758,41,213.0,1717.0,10.0,180.5365571124009,11820.0,201.0,2.332195676905575,84000010,USA,1213.846476148225,11.43344709897611
Diamond Princess,US,04-13-2020,April,2020-04-13 23:07:54,,,49,0,0.0,49.0,88888.0,,,,0.0,84088888,USA,,
District of Columbia,US,04-13-2020,April,2020-04-13 23:07:54,38.8974,-77.0268,1955,52,507.0,1903.0,11.0,277.0106652648463,10934.0,295.0,2.659846547314578,84000011,USA,1549.276017394286,15.08951406649616
Florida,US,04-13-2020,April,2020-04-14 00:42:00,27.7663,-81.6868,21019,499,,122520.0,12.0,579.3871934514303,196207.0,2833.0,0.405628398865216,84000012,USA,924.083459185368,2.302896300571456
Georgia,US,04-13-2020,April,2020-04-13 23:07:54,33.0406,-83.6431,13315,465,,12850.0,13.0,131.3194981198579,57021.0,2589.0,3.492301915133308,84000013,USA,562.3709427181686,19.44423582425836
Grand Princess,US,04-13-2020,April,2020-04-13 23:07:54,,,103,0,0.0,103.0,99999.0,,,,0.0,84099999,USA,,
Guam,US,04-13-2020,April,2020-04-13 23:07:54,13.4443,144.7937,133,5,58.0,128.0,66.0,80.9844789897034,905.0,12.0,3.759398496240602,316,GUM,551.0598006442224,9.022556390977444
Hawaii,US,04-13-2020,April,2020-04-13 23:07:54,21.0943,-157.4983,504,9,310.0,495.0,15.0,35.59860035344325,18844.0,44.0,1.785714285714286,84000015,USA,1330.99211321485,8.730158730158731
Idaho,US,04-13-2020,April,2020-04-13 23:07:54,44.2405,-114.4788,1426,27,,1399.0,16.0,88.54409539415472,14881.0,132.0,1.893408134642356,84000016,USA,924.0004793551308,9.256661991584851
Illinois,US,04-13-2020,April,2020-04-13 23:07:54,40.3495,-88.9861,22025,798,,21227.0,17.0,187.6759648568341,105768.0,3680.0,3.623155505107832,84000017,USA,901.2536413610727,16.70828603859251
Indiana,US,04-13-2020,April,2020-04-13 23:07:54,39.8494,-86.2583,8359,350,,8009.0,18.0,127.7354471902022,44539.0,,4.187103720540734,84000018,USA,680.6088147391332,
Iowa,US,04-13-2020,April,2020-04-13 23:07:54,42.0115,-93.2105,1710,41,741.0,1669.0,19.0,65.249418765046,18696.0,142.0,2.39766081871345,84000019,USA,713.3936451645029,8.304093567251464
Kansas,US,04-13-2020,April,2020-04-13 23:07:54,38.5266,-96.7265,1390,62,,1328.0,20.0,57.00253599771662,13864.0,309.0,4.460431654676259,84000020,USA,568.549035303844,22.23021582733813
Kentucky,US,04-13-2020,April,2020-04-13 23:07:54,37.6681,-84.6701,2018,113,607.0,1905.0,21.0,58.94891571093765,25866.0,667.0,5.599603567888999,84000021,USA,755.5860524177965,33.05252725470763
Louisiana,US,04-13-2020,April,2020-04-13 23:07:54,31.1695,-91.8678,21016,884,,20132.0,22.0,457.1412661351334,108091.0,2134.0,4.206318995051388,84000022,USA,2351.20177949242,10.1541682527598
Maine,US,04-13-2020,April,2020-04-13 23:07:54,44.6939,-69.3819,698,19,273.0,679.0,23.0,59.45455133960132,12306.0,124.0,2.722063037249284,84000023,USA,1048.205886511653,17.76504297994269
Maryland,US,04-13-2020,April,2020-04-13 23:07:54,39.0639,-76.8021,8936,262,603.0,8674.0,24.0,150.3532949093396,51751.0,1975.0,2.931960608773501,84000024,USA,870.7400811160737,22.10161145926589
Massachusetts,US,04-13-2020,April,2020-04-13 23:07:54,42.2302,-71.5301,26867,844,,26023.0,25.0,391.4319997808785,122049.0,2340.0,3.141400230766368,84000025,USA,1778.162211681857,8.709569360181638
Michigan,US,04-13-2020,April,2020-04-13 23:07:54,43.3266,-84.5361,25635,1602,447.0,24033.0,26.0,321.7543197729608,82644.0,3986.0,6.249268578115858,84000026,USA,1037.295260515568,15.54905402769651
Minnesota,US,04-13-2020,April,2020-04-13 23:07:54,45.6945,-93.9002,1621,70,842.0,1551.0,27.0,32.77100366606651,38427.0,361.0,4.318322023442319,84000027,USA,776.8608006637493,22.27020357803825
Mississippi,US,04-13-2020,April,2020-04-13 23:07:54,32.7416,-89.6787,2942,98,,2844.0,28.0,101.6162580486501,30984.0,549.0,3.331067301155676,84000028,USA,1070.182916172459,18.66077498300476
Missouri,US,04-13-2020,April,2020-04-13 23:07:54,38.4561,-92.2884,4515,123,,4392.0,29.0,77.05493479258142,45428.0,988.0,2.724252491694352,84000029,USA,775.2938156716256,21.88261351052049
Montana,US,04-13-2020,April,2020-04-13 23:07:54,46.9219,-110.4544,394,7,171.0,387.0,30.0,45.4972187804205,9098.0,47.0,1.776649746192893,84000030,USA,1050.593138234177,11.92893401015228
Nebraska,US,04-13-2020,April,2020-04-13 23:07:54,41.1254,-98.2681,814,17,,797.0,31.0,53.36753051259054,10972.0,,2.088452088452089,84000031,USA,719.3471066144267,
Nevada,US,04-13-2020,April,2020-04-13 23:07:54,38.3135,-117.0554,2990,114,,2876.0,32.0,99.1150254732245,25464.0,,3.812709030100335,84000032,USA,844.1020095820031,
New Hampshire,US,04-13-2020,April,2020-04-13 23:07:54,43.4525,-71.5639,985,23,239.0,962.0,33.0,74.16342154639392,11207.0,152.0,2.33502538071066,84000033,USA,843.8065637263318,15.43147208121828
New Jersey,US,04-13-2020,April,2020-04-13 23:07:54,40.2989,-74.521,64584,2443,,62141.0,34.0,727.1179742833693,129469.0,7781.0,3.782670630496717,84000034,USA,1457.624752454068,12.04787563483215
New Mexico,US,04-13-2020,April,2020-04-13 23:07:54,34.8405,-106.2485,1262,26,295.0,1236.0,35.0,75.68066119231223,30515.0,80.0,2.060221870047544,84000035,USA,1829.948792617597,6.339144215530904
New York,US,04-13-2020,April,2020-04-13 23:07:54,42.1657,-74.9481,195749,10058,23887.0,185691.0,36.0,1160.955517235755,478357.0,42712.0,5.138212711176047,84000036,USA,2837.057652188998,21.81977941138907
North Carolina,US,04-13-2020,April,2020-04-13 23:07:54,35.6301,-79.8064,4886,94,,4792.0,37.0,49.26458540766041,63388.0,313.0,1.923864101514531,84000037,USA,639.1288456448584,6.406058125255831
North Dakota,US,04-13-2020,April,2020-04-13 23:07:54,47.5289,-99.784,331,8,127.0,323.0,38.0,54.58281251545964,10781.0,40.0,2.416918429003021,84000038,USA,1777.816621538279,12.08459214501511
Northern Mariana Islands,US,04-13-2020,April,2020-04-13 23:07:54,15.0979,145.6739,11,2,,9.0,69.0,19.94777310314812,38.0,,18.18181818181818,580,MNP,68.91048890178442,
Ohio,US,04-13-2020,April,2020-04-13 23:07:54,40.3888,-82.7649,6975,274,,6701.0,39.0,62.42247531291783,65112.0,2033.0,3.92831541218638,84000039,USA,582.7171630931477,29.14695340501792
Oklahoma,US,04-13-2020,April,2020-04-13 23:07:54,35.5653,-96.9289,2069,99,865.0,1970.0,40.0,56.56662202943215,22859.0,457.0,4.784920251329145,84000040,USA,624.9668501550457,22.08796520057999
Oregon,US,04-13-2020,April,2020-04-13 23:07:54,44.572,-122.0709,1584,53,,1531.0,41.0,39.53009103400635,31121.0,369.0,3.345959595959596,84000041,USA,776.6514918366867,23.29545454545455
Pennsylvania,US,04-13-2020,April,2020-04-13 23:07:54,40.5908,-77.2098,24292,589,,23703.0,42.0,192.985150264584,129792.0,2243.0,2.424666556891157,84000042,USA,1031.11841853865,9.233492507821506
Puerto Rico,US,04-13-2020,April,2020-04-13 23:07:54,18.2208,-66.5901,903,45,,858.0,72.0,30.78330733399514,6863.0,,4.983388704318936,630,PRI,233.9599537466319,
Rhode Island,US,04-13-2020,April,2020-04-13 23:07:54,41.6809,-71.5118,2665,63,135.0,2602.0,44.0,251.5667463688016,20661.0,331.0,2.363977485928705,84000044,USA,1950.326659184169,12.42026266416511
South Carolina,US,04-13-2020,April,2020-04-13 23:07:54,33.8569,-80.945,3391,82,,3309.0,45.0,67.2820797722211,31425.0,496.0,2.418165732822176,84000045,USA,623.514997594234,14.62695370097316
South Dakota,US,04-13-2020,April,2020-04-13 23:07:54,44.2998,-99.4388,868,6,207.0,862.0,46.0,117.952090795932,9002.0,44.0,0.6912442396313364,84000046,USA,1223.277328738456,5.069124423963133
Tennessee,US,04-13-2020,April,2020-04-13 23:07:54,35.7478,-86.6923,5610,109,1671.0,5501.0,47.0,85.45408488043054,76195.0,579.0,1.942959001782531,84000047,USA,1160.637076196864,10.32085561497326
Texas,US,04-13-2020,April,2020-04-13 23:07:54,31.0545,-97.5635,14275,305,2269.0,13970.0,48.0,62.1069073279233,133226.0,1176.0,2.136602451838879,84000048,USA,579.6325629190828,8.238178633975481
Utah,US,04-13-2020,April,2020-04-13 23:07:54,40.15,-111.8624,2363,13,218.0,2350.0,49.0,82.45280161569806,45787.0,201.0,0.5501481168006771,84000049,USA,1597.658242732953,8.506136267456624
Vermont,US,04-13-2020,April,2020-04-13 23:07:54,44.0459,-72.7107,748,28,15.0,720.0,50.0,122.5042622639377,10366.0,33.0,3.74331550802139,84000050,USA,1697.699442016014,4.411764705882354
Virgin Islands,US,04-13-2020,April,2020-04-13 23:07:54,18.3358,-64.8963,51,1,43.0,50.0,78.0,47.5444680613044,373.0,,1.96078431372549,850,VIR,347.7271879777754,
Virginia,US,04-13-2020,April,2020-04-13 23:07:54,37.7693,-78.17,5747,149,,5598.0,51.0,72.68031915095425,41401.0,1238.0,2.592657038454846,84000051,USA,523.5841122618161,21.54167391682617
Washington,US,04-13-2020,April,2020-04-13 23:07:54,47.4009,-121.4905,10635,513,,10122.0,53.0,140.8720663077597,93802.0,527.0,4.823695345557122,84000053,USA,1242.508844739114,4.955336154207805
West Virginia,US,04-13-2020,April,2020-04-13 23:07:54,38.4912,-80.9545,611,8,85.0,603.0,54.0,46.18298742704071,16655.0,164.0,1.309328968903437,84000054,USA,1258.883233383573,26.84124386252045
Wisconsin,US,04-13-2020,April,2020-04-13 23:07:54,44.2685,-89.6165,3428,154,,3274.0,55.0,66.24703767713304,40197.0,993.0,4.492415402567095,84000055,USA,776.8180202764635,28.96732788798133
Wyoming,US,04-13-2020,April,2020-04-13 23:07:54,42.756,-107.3025,275,1,138.0,274.0,56.0,55.30528517416137,5964.0,41.0,0.3636363636363637,84000056,USA,1199.420802831631,14.90909090909091
Recovered,US,04-13-2020,April,2020-04-14 23:33:31,,,0,0,43482.0,-43482.0,,,,,,84070001,USA,,
Alabama,US,04-14-2020,April,2020-04-14 23:33:31,32.3182,-86.9023,3953,114,,3839.0,1.0,84.30554137,33117.0,493.0,2.883885656,84000001,USA,706.2855081,12.4715406
Alaska,US,04-14-2020,April,2020-04-14 23:33:31,61.3707,-152.4044,285,9,98.0,276.0,2.0,47.67887525,8348.0,32.0,3.157894737,84000002,USA,1396.572809,11.22807018
American Samoa,US,04-14-2020,April,2020-04-14 23:33:31,-14.271,-170.132,0,0,,,60.0,0.0,3.0,,,16,ASM,5.391707554,
Arizona,US,04-14-2020,April,2020-04-14 23:33:31,33.7298,-111.4312,3809,131,249.0,3678.0,4.0,52.33065113,44096.0,580.0,3.439222893,84000004,USA,605.8210534,15.22709373
Arkansas,US,04-14-2020,April,2020-04-14 23:33:31,34.9697,-92.3731,1498,32,427.0,1466.0,5.0,57.85957427,21131.0,130.0,2.136181575,84000005,USA,816.1753431,8.67823765
California,US,04-14-2020,April,2020-04-14 23:33:31,36.1162,-119.6816,25356,767,,24589.0,6.0,64.66945279,202208.0,5163.0,3.028868907,84000006,USA,515.7233282,20.36204449
Colorado,US,04-14-2020,April,2020-04-14 23:33:31,39.0598,-105.3111,7950,327,,7623.0,8.0,140.290495,38742.0,1493.0,4.11320755,84000008,USA,683.6646982999999,18.7798742
Connecticut,US,04-14-2020,April,2020-04-14 23:33:31,41.5978,-72.7554,13989,671,,13318.0,9.0,392.3667295,45841.0,1779.0,4.79662592,84000009,USA,1285.759043,12.71713489
Delaware,US,04-14-2020,April,2020-04-14 23:33:31,39.3185,-75.5071,1926,43,277.0,1883.0,10.0,197.7891974,12304.0,204.0,2.232606438,84000010,USA,1263.550511,10.59190031
Diamond Princess,US,04-14-2020,April,2020-04-14 23:33:31,,,49,0,0.0,49.0,88888.0,,,,0.0,84088888,USA,,
District of Columbia,US,04-14-2020,April,2020-04-14 23:33:31,38.8974,-77.0268,2058,67,518.0,1991.0,11.0,291.6050891,11518.0,295.0,3.255587949,84000011,USA,1632.024983,14.33430515
Florida,US,04-14-2020,April,2020-04-14 23:33:31,27.7663,-81.6868,21628,571,,21057.0,12.0,101.8622019,203180.0,3060.0,2.640096172,84000012,USA,956.9244585000001,14.14832624
Georgia,US,04-14-2020,April,2020-04-14 23:33:31,33.0406,-83.6431,14578,525,,14053.0,13.0,143.7758651,61795.0,2769.0,3.601317053,84000013,USA,609.4546291,18.99437509
Grand Princess,US,04-14-2020,April,2020-04-14 23:33:31,,,103,0,0.0,103.0,99999.0,,,,0.0,84099999,USA,,
Guam,US,04-14-2020,April,2020-04-14 23:33:31,13.4443,144.7937,133,5,66.0,128.0,66.0,80.98447899,946.0,13.0,3.759398496,316,GUM,576.0249408,9.77443609
Hawaii,US,04-14-2020,April,2020-04-14 23:33:31,21.0943,-157.4983,511,9,315.0,502.0,15.0,36.09302536,19420.0,44.0,1.761252446,84000015,USA,1371.676228,8.610567515
Idaho,US,04-14-2020,April,2020-04-14 23:33:31,44.2405,-114.4788,1464,33,,1431.0,16.0,90.90361547,15114.0,135.0,2.254098361,84000016,USA,938.468063,9.221311475
Illinois,US,04-14-2020,April,2020-04-14 23:33:31,40.3495,-88.9861,23248,868,,22380.0,17.0,198.0972,110616.0,4283.0,3.733654508,84000017,USA,942.5636562000001,18.42309016
Indiana,US,04-14-2020,April,2020-04-14 23:33:31,39.8494,-86.2583,8527,387,,8140.0,18.0,130.3026867,46017.0,,4.538524686000001,84000018,USA,703.19441,
Iowa,US,04-14-2020,April,2020-04-14 23:33:31,42.0115,-93.2105,1899,49,741.0,1850.0,19.0,72.46119663,18885.0,163.0,2.580305424,84000019,USA,720.6054230000001,8.583464982
Kansas,US,04-14-2020,April,2020-04-14 23:33:31,38.5266,-96.7265,1441,69,,1372.0,20.0,59.09399595,14147.0,327.0,4.78834143,84000020,USA,580.1545876,22.6925746
Kentucky,US,04-14-2020,April,2020-04-14 23:33:31,37.6681,-84.6701,2048,106,629.0,1942.0,21.0,59.82526233,26683.0,673.0,5.17578125,84000021,USA,779.4518919,32.86132813
Louisiana,US,04-14-2020,April,2020-04-14 23:33:31,31.1695,-91.8678,21518,1013,,20505.0,22.0,468.0607996000001,118422.0,1977.0,4.707686588000001,84000022,USA,2575.922298,9.187656845
Maine,US,04-14-2020,April,2020-04-14 23:33:31,44.6939,-69.3819,735,20,292.0,715.0,23.0,62.60615363,12342.0,124.0,2.721088435,84000023,USA,1051.27231,16.8707483
