Province_State,Country_Region,Date,Month,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
Pennsylvania,US,05-08-2020,May,2020-05-09 02:32:39,40.5908,-77.2098,57371,3715,,53656.0,42.0,455.7776657265539,270559.0,,6.475396977567064,84000042,USA,2149.426530151309,
Puerto Rico,US,05-08-2020,May,2020-05-09 02:32:39,18.2208,-66.5901,2156,107,,2049.0,72.0,73.49812913853101,2156.0,,4.962894248608534,630,PRI,73.49812913853101,
Rhode Island,US,05-08-2020,May,2020-05-09 02:32:39,41.6809,-71.5118,10779,399,730.0,9650.0,44.0,1017.500172273663,85266.0,1187.0,3.701642081825773,84000044,USA,8048.814332413596,11.01215326097041
South Carolina,US,05-08-2020,May,2020-05-09 02:32:39,33.8569,-80.945,7367,320,3816.0,3231.0,45.0,146.171359976984,73442.0,1152.0,4.343694855436405,84000045,USA,1457.189767806388,15.63730147957106
South Dakota,US,05-08-2020,May,2020-05-09 02:32:39,44.2998,-99.4388,3145,31,2069.0,1045.0,46.0,427.3724948769656,21293.0,247.0,0.985691573926868,84000046,USA,2893.495241149516,7.853736089030208
Tennessee,US,05-08-2020,May,2020-05-09 02:32:39,35.7478,-86.6923,14441,242,7011.0,7188.0,47.0,219.9719143954184,243578.0,1299.0,1.67578422546915,84000047,USA,3710.291459359271,8.995221937538952
Texas,US,05-08-2020,May,2020-05-09 02:32:39,31.0545,-97.5635,37246,1025,19197.0,17024.0,48.0,162.0479068536484,477118.0,,2.751973366267519,84000048,USA,2075.819503361408,
Utah,US,05-08-2020,May,2020-05-09 02:32:39,40.15,-111.8624,5919,61,2769.0,3089.0,49.0,206.5332766666597,138688.0,488.0,1.030579489778679,84000049,USA,4839.278100075299,8.244635918229429
Vermont,US,05-08-2020,May,2020-05-09 02:32:39,44.0459,-72.7107,919,53,737.0,129.0,50.0,150.5099158028861,19008.0,,5.767138193688793,84000050,USA,3113.049488118888,
Virgin Islands,US,05-08-2020,May,2020-05-09 02:32:39,18.3358,-64.8963,68,4,57.0,7.0,78.0,63.39262408173919,1092.0,,5.882352941176472,850,VIR,1018.010963194988,
Virginia,US,05-08-2020,May,2020-05-09 02:32:39,37.7693,-78.17,22342,812,2997.0,18533.0,51.0,282.5515382757299,129945.0,4622.0,3.634410527258078,84000051,USA,1643.369422667609,20.68749440515621
Washington,US,05-08-2020,May,2020-05-09 02:32:39,47.4009,-121.4905,16388,905,,15483.0,53.0,217.0767675271806,230680.0,,5.522333414693677,84000053,USA,3055.605853866855,
West Virginia,US,05-08-2020,May,2020-05-09 02:32:39,38.4912,-80.9545,1323,52,761.0,510.0,54.0,100.0001511718083,59436.0,,3.930461073318216,84000054,USA,4492.523798221917,
Wisconsin,US,05-08-2020,May,2020-05-09 02:32:39,44.2685,-89.6165,9590,384,4694.0,4512.0,55.0,185.3293731982806,106855.0,1767.0,4.004171011470281,84000055,USA,2065.002103556024,18.42544316996872
Wyoming,US,05-08-2020,May,2020-05-09 02:32:39,42.756,-107.3025,644,7,428.0,209.0,56.0,129.5149223714906,12038.0,60.0,1.08695652173913,84000056,USA,2420.963719732925,9.316770186335404
Alabama,US,05-09-2020,May,2020-05-10 02:32:34,32.3182,-86.9023,9668,390,,9278.0,1.0,206.1892167816866,125494.0,1228.0,4.033926354985518,84000001,USA,2676.407692470105,12.70169631774928
Alaska,US,05-09-2020,May,2020-05-10 02:32:34,61.3707,-152.4044,378,10,318.0,50.0,2.0,63.23724506439994,26449.0,,2.645502645502646,84000002,USA,4424.766917217762,
American Samoa,US,05-09-2020,May,2020-05-10 02:32:34,-14.271,-170.132,0,0,,0.0,60.0,0.0,83.0,,,16,ASM,149.1705756546432,
Arizona,US,05-09-2020,May,2020-05-10 02:32:34,33.7298,-111.4312,10960,532,2684.0,7744.0,4.0,150.5759874988957,128940.0,1514.0,4.854014598540147,84000004,USA,1771.466042710549,13.81386861313869
Arkansas,US,05-09-2020,May,2020-05-10 02:32:34,34.9697,-92.3731,3747,88,2968.0,691.0,5.0,144.7261847790695,65528.0,471.0,2.348545503069122,84000005,USA,2530.989441207063,12.57005604483587
California,US,05-09-2020,May,2020-05-10 02:32:34,36.1162,-119.6816,66558,2687,,63871.0,6.0,169.7534878809813,912570.0,,4.037080441119024,84000006,USA,2327.472887339569,
Colorado,US,05-09-2020,May,2020-05-10 02:32:34,39.0598,-105.3111,19375,967,2974.0,15434.0,8.0,341.9029355653698,96772.0,3600.0,4.990967741935483,84000008,USA,1707.697077704875,18.58064516129032
Connecticut,US,05-09-2020,May,2020-05-10 02:32:34,41.5978,-72.7554,32984,2932,5413.0,24639.0,9.0,925.142912758496,123569.0,9389.0,8.889158379820516,84000009,USA,3465.892086667917,28.4653165170992
Delaware,US,05-09-2020,May,2020-05-10 02:32:34,39.3185,-75.5071,6277,221,2450.0,3606.0,10.0,644.6120415213542,29296.0,,3.520790186394775,84000010,USA,3008.531841390727,
Diamond Princess,US,05-09-2020,May,2020-05-10 02:32:34,,,49,0,,49.0,88888.0,,,,0.0,84088888,USA,,
District of Columbia,US,05-09-2020,May,2020-05-10 02:32:34,38.8974,-77.0268,6102,311,879.0,4912.0,11.0,864.6133398701237,28183.0,,5.096689609963946,84000011,USA,3993.346076296247,
Florida,US,05-09-2020,May,2020-05-10 02:32:34,27.7663,-81.6868,40001,1715,,38286.0,12.0,188.3942084169979,527731.0,7325.0,4.28739281517962,84000012,USA,2485.474463191188,18.31204219894503
Georgia,US,05-09-2020,May,2020-05-10 02:32:34,33.0406,-83.6431,32588,1403,,31185.0,13.0,321.3999102313127,235324.0,5987.0,4.305265741990917,84000013,USA,2320.888439771493,18.37179329814656
Grand Princess,US,05-09-2020,May,2020-05-10 02:32:34,,,103,3,,100.0,99999.0,,,,2.912621359223301,84099999,USA,,
Guam,US,05-09-2020,May,2020-05-10 02:32:34,13.4443,144.7937,151,5,124.0,22.0,66.0,91.94478441688129,3794.0,,3.311258278145695,316,GUM,2310.188821706276,
Hawaii,US,05-09-2020,May,2020-05-10 02:32:34,21.0943,-157.4983,631,17,566.0,48.0,15.0,44.56888258536247,36262.0,81.0,2.694136291600634,84000015,USA,2561.262789715395,12.83676703645008
Idaho,US,05-09-2020,May,2020-05-10 02:32:34,44.2405,-114.4788,2205,67,1442.0,696.0,16.0,136.9142569033038,31806.0,206.0,3.038548752834467,84000016,USA,1974.918301617451,9.342403628117914
Illinois,US,05-09-2020,May,2020-05-10 02:32:34,40.3495,-88.9861,76085,3349,,72736.0,17.0,648.3235317199648,416331.0,,4.401656042583952,84000017,USA,3547.574216790493,
Indiana,US,05-09-2020,May,2020-05-10 02:32:34,39.8494,-86.2583,23732,1490,,22242.0,18.0,362.6531442418803,135686.0,4389.0,6.278442609135345,84000018,USA,2073.443221372147,18.49401651778189
Iowa,US,05-09-2020,May,2020-05-10 02:32:34,42.0115,-93.2105,11671,252,5011.0,6408.0,19.0,445.3368224601473,71476.0,,2.15919801216691,84000019,USA,2727.349389269257,
Kansas,US,05-09-2020,May,2020-05-10 02:32:34,38.5266,-96.7265,6829,174,350.0,6305.0,20.0,280.0505887254725,49933.0,635.0,2.547957241177332,84000020,USA,2047.703330916535,9.298579587055208
Kentucky,US,05-09-2020,May,2020-05-10 02:32:34,37.6681,-84.6701,6440,304,2266.0,3870.0,21.0,188.1224069268773,86447.0,1696.0,4.720496894409939,84000021,USA,2525.251197454622,26.33540372670808
Louisiana,US,05-09-2020,May,2020-05-10 02:32:34,31.1695,-91.8678,31417,2267,20316.0,8834.0,22.0,683.384428919275,212157.0,,7.215838558742082,84000022,USA,4614.851522622359,
Maine,US,05-09-2020,May,2020-05-10 02:32:34,44.6939,-69.3819,1408,64,857.0,487.0,23.0,119.931243962978,23500.0,198.0,4.545454545454546,84000023,USA,2001.693347393455,14.0625
Maryland,US,05-09-2020,May,2020-05-10 02:32:34,39.0639,-76.8021,31534,1614,2159.0,27761.0,24.0,530.5775292828016,156028.0,5932.0,5.118285025686562,84000024,USA,2625.260060218716,18.81144161857043
Massachusetts,US,05-09-2020,May,2020-05-10 02:32:34,42.2302,-71.5301,76743,4840,,71903.0,25.0,1118.087838582051,376537.0,7551.0,6.30676413483966,84000025,USA,5485.86112708872,9.839333880614518
Michigan,US,05-09-2020,May,2020-05-10 02:32:34,43.3266,-84.5361,46815,4530,22686.0,19599.0,26.0,587.5922949159806,273486.0,,9.676385773790454,84000026,USA,3432.62344050821,
Minnesota,US,05-09-2020,May,2020-05-10 02:32:34,45.6945,-93.9002,10790,558,6322.0,3910.0,27.0,218.1364155193446,106263.0,1612.0,5.171455050973123,84000027,USA,2148.269686963125,14.93975903614458
Mississippi,US,05-09-2020,May,2020-05-10 02:32:34,32.7416,-89.6787,9378,421,4421.0,4536.0,28.0,323.9147749762884,81479.0,1512.0,4.489230113030497,84000028,USA,2814.272974012902,16.12284069097889
Missouri,US,05-09-2020,May,2020-05-10 02:32:34,38.4561,-92.2884,9911,494,,9417.0,29.0,169.1453950673919,108898.0,,4.984360811219856,84000029,USA,1858.500174760251,
Montana,US,05-09-2020,May,2020-05-10 02:32:34,46.9219,-110.4544,458,16,422.0,20.0,30.0,52.88762995287458,21329.0,62.0,3.493449781659388,84000030,USA,2462.969998394895,13.53711790393013
Nebraska,US,05-09-2020,May,2020-05-10 02:32:34,41.1254,-98.2681,8093,90,,8003.0,31.0,530.5938875164561,42976.0,,1.1120721611269,84000031,USA,2817.595812419031,
Nevada,US,05-09-2020,May,2020-05-10 02:32:34,38.3135,-117.0554,6171,313,205.0,5653.0,32.0,204.5614789950731,56111.0,,5.072111489223789,84000032,USA,1860.014446263579,
New Hampshire,US,05-09-2020,May,2020-05-10 02:32:34,43.4525,-71.5639,3011,131,1210.0,1670.0,33.0,226.7066622093321,32298.0,309.0,4.350714048488873,84000033,USA,2431.807298584194,10.26237130521422
New Jersey,US,05-09-2020,May,2020-05-10 02:32:34,40.2989,-74.521,137397,9116,15642.0,112639.0,34.0,1546.88201896154,305206.0,,6.634788241373537,84000034,USA,3436.157073874799,
New Mexico,US,05-09-2020,May,2020-05-10 02:32:34,34.8405,-106.2485,4778,191,1189.0,3398.0,35.0,286.5310611544119,93262.0,789.0,3.997488488907493,84000035,USA,5592.812855877514,16.51318543323566
New York,US,05-09-2020,May,2020-05-10 02:32:34,42.1657,-74.9481,333122,26612,57180.0,249330.0,36.0,1975.692462350301,1153768.0,72255.0,7.988664813491753,84000036,USA,6842.810564600905,21.69025161952678
North Carolina,US,05-09-2020,May,2020-05-10 02:32:34,35.6301,-79.8064,14478,551,,13927.0,37.0,145.9788513164362,186362.0,,3.805774278215223,84000037,USA,1879.051712186331,
North Dakota,US,05-09-2020,May,2020-05-10 02:32:34,47.5289,-99.784,1464,35,762.0,667.0,38.0,241.417636020039,43933.0,110.0,2.390710382513661,84000038,USA,7244.672816440147,7.513661202185792
Northern Mariana Islands,US,05-09-2020,May,2020-05-10 02:32:34,15.0979,145.6739,16,2,12.0,2.0,69.0,29.01494269548818,2337.0,,12.5,580,MNP,4237.995067459742,
Ohio,US,05-09-2020,May,2020-05-10 02:32:34,40.3888,-82.7649,23697,1331,,22366.0,39.0,212.0753258050485,196670.0,4300.0,5.616744735620543,84000039,USA,1760.090067353627,18.14575684685825
Oklahoma,US,05-09-2020,May,2020-05-10 02:32:34,35.5653,-96.9289,4490,270,3154.0,1066.0,40.0,122.7569516250122,95869.0,822.0,6.013363028953228,84000040,USA,2621.065967781359,18.30734966592428
Oregon,US,05-09-2020,May,2020-05-10 02:32:34,44.572,-122.0709,3160,127,1125.0,1908.0,41.0,78.86053514359855,74620.0,662.0,4.018987341772152,84000041,USA,1862.206687473204,20.94936708860759
Pennsylvania,US,05-09-2020,May,2020-05-10 02:32:34,40.5908,-77.2098,58560,3779,,54781.0,42.0,465.2235468258701,277107.0,,6.453210382513661,84000042,USA,2201.44640352248,
Puerto Rico,US,05-09-2020,May,2020-05-10 02:32:34,18.2208,-66.5901,2173,108,,2065.0,72.0,74.07765984138584,2173.0,,4.970087436723424,630,PRI,74.07765984138584,
Rhode Island,US,05-09-2020,May,2020-05-10 02:32:34,41.6809,-71.5118,10989,418,772.0,9799.0,44.0,1037.323443094469,87815.0,1218.0,3.803803803803804,84000044,USA,8289.431081567096,11.08381108381108
South Carolina,US,05-09-2020,May,2020-05-10 02:32:34,33.8569,-80.945,7531,330,4120.0,3081.0,45.0,149.4253443717479,80963.0,1252.0,4.38188819545877,84000045,USA,1606.416698495528,16.62461824458903
South Dakota,US,05-09-2020,May,2020-05-10 02:32:34,44.2998,-99.4388,3393,34,2125.0,1234.0,46.0,461.073092247232,22952.0,253.0,1.002063071028588,84000046,USA,3118.935930815935,7.456528146183317
Tennessee,US,05-09-2020,May,2020-05-10 02:32:34,35.7478,-86.6923,14768,242,7369.0,7157.0,47.0,224.9529278991441,252748.0,1319.0,1.638678223185266,84000047,USA,3849.97309186436,8.931473456121344
Texas,US,05-09-2020,May,2020-05-10 02:32:34,31.0545,-97.5635,38394,1066,20141.0,17187.0,48.0,167.0425639193196,489294.0,,2.77647549096213,84000048,USA,2128.794193632848,
Utah,US,05-09-2020,May,2020-05-10 02:32:34,40.15,-111.8624,6103,66,2901.0,3136.0,49.0,212.9536387052921,143294.0,498.0,1.081435359659184,84000049,USA,4999.996510672805,8.159921350155662
Vermont,US,05-09-2020,May,2020-05-10 02:32:34,44.0459,-72.7107,921,53,744.0,124.0,50.0,150.8374673062656,19527.0,,5.754614549402822,84000050,USA,3198.049103245872,
Virgin Islands,US,05-09-2020,May,2020-05-10 02:32:34,18.3358,-64.8963,68,4,57.0,7.0,78.0,63.39262408173919,1092.0,,5.882352941176472,850,VIR,1018.010963194988,
Virginia,US,05-09-2020,May,2020-05-10 02:32:34,37.7693,-78.17,23196,827,3124.0,19245.0,51.0,293.3517805856159,137149.0,4717.0,3.565269874116227,84000051,USA,1734.475916344915,20.33540265563029
Washington,US,05-09-2020,May,2020-05-10 02:32:34,47.4009,-121.4905,16674,921,,15753.0,53.0,220.8651465552972,235835.0,3450.0,5.52356962936308,84000053,USA,3123.889398936578,20.69089600575747
West Virginia,US,05-09-2020,May,2020-05-10 02:32:34,38.4912,-80.9545,1323,52,761.0,510.0,54.0,100.0001511718083,60997.0,,3.930461073318216,84000054,USA,4610.513394578072,
Wisconsin,US,05-09-2020,May,2020-05-10 02:32:34,44.2685,-89.6165,9939,398,4875.0,4666.0,55.0,192.0738936619093,111874.0,1806.0,4.004427004728846,84000055,USA,2161.995651426949,18.17084213703592
Wyoming,US,05-09-2020,May,2020-05-10 02:32:34,42.756,-107.3025,653,7,438.0,208.0,56.0,131.324913522645,12047.0,64.0,1.07197549770291,84000056,USA,2422.77371088408,9.800918836140886
Alabama,US,05-10-2020,May,2020-05-11 02:32:34,32.3182,-86.9023,9889,393,,9496.0,1.0,210.9024787705936,127421.0,1240.0,3.974112650419658,84000001,USA,2717.504777776095,12.53918495297806
Alaska,US,05-10-2020,May,2020-05-11 02:32:34,61.3707,-152.4044,379,10,324.0,45.0,2.0,63.40453936351211,27364.0,,2.638522427440633,84000002,USA,4577.841200905396,
American Samoa,US,05-10-2020,May,2020-05-11 02:32:34,-14.271,-170.132,0,0,,0.0,60.0,0.0,83.0,,,16,ASM,149.1705756546432,
Arizona,US,05-10-2020,May,2020-05-11 02:32:34,33.7298,-111.4312,11119,536,2775.0,7808.0,4.0,152.760438412429,137739.0,1528.0,4.820577390053061,84000004,USA,1892.35273194438,13.7422430074647
Arkansas,US,05-10-2020,May,2020-05-11 02:32:34,34.9697,-92.3731,4012,91,2968.0,953.0,5.0,154.9616902411601,65528.0,471.0,2.268195413758724,84000005,USA,2530.989441207063,11.73978065802592
California,US,05-10-2020,May,2020-05-11 02:32:34,36.1162,-119.6816,67600,2716,,64884.0,6.0,172.4110667501177,955664.0,,4.017751479289942,84000006,USA,2437.382391933203,
Colorado,US,05-10-2020,May,2020-05-11 02:32:34,39.0598,-105.3111,19703,971,3023.0,15709.0,8.0,347.6910213906829,100610.0,3623.0,4.92818352535147,84000008,USA,1775.424740502289,18.38806273156372
Connecticut,US,05-10-2020,May,2020-05-11 02:32:34,41.5978,-72.7554,33554,2967,5413.0,25174.0,9.0,941.1304054904975,130192.0,9389.0,8.842462895630922,84000009,USA,3651.655532920632,27.98176074387555
Delaware,US,05-10-2020,May,2020-05-11 02:32:34,39.3185,-75.5071,6277,221,2537.0,3519.0,10.0,644.6120415213542,31039.0,,3.520790186394775,84000010,USA,3187.527984193295,
Diamond Princess,US,05-10-2020,May,2020-05-11 02:32:34,,,49,0,,49.0,88888.0,,,,0.0,84088888,USA,,
District of Columbia,US,05-10-2020,May,2020-05-11 02:32:34,38.8974,-77.0268,6272,323,880.0,5069.0,11.0,888.7012238061974,29570.0,,5.149872448979592,84000011,USA,4189.874870527624,
Florida,US,05-10-2020,May,2020-05-11 02:32:34,27.7663,-81.6868,40596,1721,,38875.0,12.0,191.1965022098559,538948.0,7404.0,4.239333924524583,84000012,USA,2538.303588358396,18.23825007389891
Georgia,US,05-10-2020,May,2020-05-11 02:32:34,33.0406,-83.6431,33580,1406,,32174.0,13.0,331.1835333732502,243547.0,5997.0,4.187016081000595,84000013,USA,2401.987969102292,17.85884455032758
Grand Princess,US,05-10-2020,May,2020-05-11 02:32:34,,,103,3,,100.0,99999.0,,,,2.912621359223301,84099999,USA,,
Guam,US,05-10-2020,May,2020-05-11 02:32:34,13.4443,144.7937,151,5,124.0,22.0,66.0,91.94478441688129,3794.0,,3.311258278145695,316,GUM,2310.188821706276,
Hawaii,US,05-10-2020,May,2020-05-11 02:32:34,21.0943,-157.4983,632,17,551.0,64.0,15.0,44.6395147289209,37270.0,81.0,2.689873417721519,84000015,USA,2632.459990422281,12.81645569620253
Idaho,US,05-10-2020,May,2020-05-11 02:32:34,44.2405,-114.4788,2230,67,1473.0,690.0,16.0,138.4665727412097,32142.0,207.0,3.004484304932735,84000016,USA,1995.781426478907,9.282511210762332
Illinois,US,05-10-2020,May,2020-05-11 02:32:34,40.3495,-88.9861,77741,3406,,74335.0,17.0,662.4343783852505,429984.0,,4.381214545735197,84000017,USA,3663.912012395049,
Indiana,US,05-10-2020,May,2020-05-11 02:32:34,39.8494,-86.2583,24126,1508,,22618.0,18.0,368.6739321582508,140029.0,4389.0,6.250518113238829,84000018,USA,2139.809419140665,18.19199204178065
Iowa,US,05-10-2020,May,2020-05-11 02:32:34,42.0115,-93.2105,11959,265,5154.0,6540.0,19.0,456.3261982521552,74174.0,,2.215904339827745,84000019,USA,2830.298472209662,
Kansas,US,05-10-2020,May,2020-05-11 02:32:34,38.5266,-96.7265,6951,174,371.0,6406.0,20.0,285.0536890072865,52505.0,657.0,2.503236944324557,84000020,USA,2153.178527021663,9.451877427708244
Kentucky,US,05-10-2020,May,2020-05-11 02:32:34,37.6681,-84.6701,6440,304,2308.0,3828.0,21.0,188.1224069268773,86923.0,1757.0,4.720496894409939,84000021,USA,2539.155897097044,27.28260869565218
Louisiana,US,05-10-2020,May,2020-05-11 02:32:34,31.1695,-91.8678,31600,2286,20316.0,8998.0,22.0,687.3650556656935,215872.0,,7.234177215189874,84000022,USA,4695.660420780525,
Maine,US,05-10-2020,May,2020-05-11 02:32:34,44.6939,-69.3819,1436,64,861.0,511.0,23.0,122.3162402917873,23528.0,199.0,4.456824512534818,84000023,USA,2004.078343722264,13.85793871866295
Maryland,US,05-10-2020,May,2020-05-11 02:32:34,39.0639,-76.8021,32587,1644,2293.0,28650.0,24.0,548.2948546565186,159931.0,5955.0,5.044956577776414,84000024,USA,2690.930260535541,18.27415840672661
Massachusetts,US,05-10-2020,May,2020-05-11 02:32:34,42.2302,-71.5301,77793,4979,,72814.0,25.0,1133.385549520002,388389.0,7617.0,6.400318794750169,84000025,USA,5658.535860456905,9.791369403416759
Michigan,US,05-10-2020,May,2020-05-11 02:32:34,43.3266,-84.5361,47182,4555,22686.0,19941.0,26.0,592.1986469876277,285678.0,,9.654105379170023,84000026,USA,3585.649719684022,
Minnesota,US,05-10-2020,May,2020-05-11 02:32:34,45.6945,-93.9002,11271,578,6882.0,3811.0,27.0,227.8605689822552,111088.0,1657.0,5.128205128205129,84000027,USA,2245.814469621219,14.70144618933547
Mississippi,US,05-10-2020,May,2020-05-11 02:32:34,32.7416,-89.6787,9501,430,4421.0,4650.0,28.0,328.1631773352224,81602.0,1531.0,4.52583938532786,84000028,USA,2818.521376371837,16.11409325334175
Missouri,US,05-10-2020,May,2020-05-11 02:32:34,38.4561,-92.2884,10068,503,,9565.0,29.0,171.8248246936234,115546.0,,4.996027016289234,84000029,USA,1971.957806321952,
Montana,US,05-10-2020,May,2020-05-11 02:32:34,46.9219,-110.4544,458,16,422.0,20.0,30.0,52.88762995287458,21704.0,62.0,3.493449781659388,84000030,USA,2506.273188858493,13.53711790393013
Nebraska,US,05-10-2020,May,2020-05-11 02:32:34,41.1254,-98.2681,8171,90,,8081.0,31.0,535.707729506606,45569.0,,1.10145637008934,84000031,USA,2987.598277553118,
Nevada,US,05-10-2020,May,2020-05-11 02:32:34,38.3135,-117.0554,6120,310,182.0,5628.0,32.0,202.8708882595766,58809.0,,5.065359477124184,84000032,USA,1949.450011055138,
New Hampshire,US,05-10-2020,May,2020-05-11 02:32:34,43.4525,-71.5639,3071,133,1228.0,1710.0,33.0,231.2242310344931,33453.0,313.0,4.330836860957343,84000033,USA,2518.770498468544,10.19211983067405
New Jersey,US,05-10-2020,May,2020-05-11 02:32:34,40.2989,-74.521,138754,9256,15642.0,113856.0,34.0,1562.159782666212,312447.0,,6.670798679677702,84000034,USA,3517.679761410193,
New Mexico,US,05-10-2020,May,2020-05-11 02:32:34,34.8405,-106.2485,4863,200,1268.0,3395.0,35.0,291.6284115516754,97053.0,789.0,4.112687641373638,84000035,USA,5820.154683595468,16.224552745219
New York,US,05-10-2020,May,2020-05-11 02:32:34,42.1657,-74.9481,335395,26641,58006.0,250748.0,36.0,1989.17325607429,1182998.0,72715.0,7.943171484369175,84000036,USA,7016.168945838109,21.68040668465541
North Carolina,US,05-10-2020,May,2020-05-11 02:32:34,35.6301,-79.8064,14938,564,,14374.0,37.0,150.6169416331624,192135.0,,3.775605837461507,84000037,USA,1937.259745661243,
North Dakota,US,05-10-2020,May,2020-05-11 02:32:34,47.5289,-99.784,1491,35,792.0,664.0,38.0,245.8700104548348,44869.0,110.0,2.347417840375587,84000038,USA,7399.021796846399,7.377598926894701
Northern Mariana Islands,US,05-10-2020,May,2020-05-11 02:32:34,15.0979,145.6739,16,2,12.0,2.0,69.0,29.01494269548818,2337.0,,12.5,580,MNP,4237.995067459742,
Ohio,US,05-10-2020,May,2020-05-11 02:32:34,40.3888,-82.7649,24081,1341,,22740.0,39.0,215.5119179943189,204862.0,4351.0,5.568705618537437,84000039,USA,1833.404034058061,18.06818653710394
Oklahoma,US,05-10-2020,May,2020-05-11 02:32:34,35.5653,-96.9289,4589,272,3204.0,1113.0,40.0,125.4636193779913,95968.0,826.0,5.927217258662018,84000040,USA,2623.772635534337,17.99956417520157
Oregon,US,05-10-2020,May,2020-05-11 02:32:34,44.572,-122.0709,3228,127,1125.0,1976.0,41.0,80.55753400111901,75507.0,670.0,3.934324659231722,84000041,USA,1884.342540217625,20.75588599752168
Pennsylvania,US,05-10-2020,May,2020-05-11 02:32:34,40.5908,-77.2098,59939,3806,,56133.0,42.0,476.1788622471966,284383.0,,6.349788952101302,84000042,USA,2259.2497936643,
Puerto Rico,US,05-10-2020,May,2020-05-11 02:32:34,18.2208,-66.5901,2198,111,,2087.0,72.0,74.92991087499591,2198.0,,5.050045495905368,630,PRI,74.92991087499591,
Rhode Island,US,05-10-2020,May,2020-05-11 02:32:34,41.6809,-71.5118,11274,422,809.0,10043.0,44.0,1064.226453494135,91213.0,1251.0,3.74312577612205,84000044,USA,8610.190482753282,11.09632783395423
South Carolina,US,05-10-2020,May,2020-05-11 02:32:34,33.8569,-80.945,7653,331,4120.0,3202.0,45.0,151.84599129956,84457.0,1252.0,4.325101267476806,84000045,USA,1675.742439198607,16.35959754344701
South Dakota,US,05-10-2020,May,2020-05-11 02:32:34,44.2998,-99.4388,3517,34,2147.0,1336.0,46.0,477.923390932365,23894.0,261.0,0.9667330110889965,84000046,USA,3246.943845020737,7.421097526300825
Tennessee,US,05-10-2020,May,2020-05-11 02:32:34,35.7478,-86.6923,14985,243,7528.0,7214.0,47.0,228.2583711110965,261869.0,1325.0,1.621621621621621,84000047,USA,3988.908333966749,8.842175508842177
Texas,US,05-10-2020,May,2020-05-11 02:32:34,31.0545,-97.5635,39258,1094,21022.0,17142.0,48.0,170.8016089582916,501776.0,,2.786693158082429,84000048,USA,2183.10021235559,
Utah,US,05-10-2020,May,2020-05-11 02:32:34,40.15,-111.8624,6251,67,3033.0,3151.0,49.0,218.1178429537573,146510.0,512.0,1.07182850743881,84000049,USA,5112.213273261076,8.19068948968165
Vermont,US,05-10-2020,May,2020-05-11 02:32:34,44.0459,-72.7107,927,53,777.0,97.0,50.0,151.8201218164041,20048.0,,5.717367853290184,84000050,USA,3283.376269876235,
Virgin Islands,US,05-10-2020,May,2020-05-11 02:32:34,18.3358,-64.8963,69,4,59.0,6.0,78.0,64.32486855352947,1171.0,,5.797101449275362,850,VIR,1091.658276466421,
Virginia,US,05-10-2020,May,2020-05-11 02:32:34,37.7693,-78.17,24081,839,3201.0,20041.0,51.0,304.5440691620201,143055.0,4756.0,3.484074581620364,84000051,USA,1809.167053443494,19.75001038162867
Washington,US,05-10-2020,May,2020-05-11 02:32:34,47.4009,-121.4905,16891,931,,15960.0,53.0,223.7395460276793,242989.0,,5.511811023622046,84000053,USA,3218.651858961563,
West Virginia,US,05-10-2020,May,2020-05-11 02:32:34,38.4912,-80.9545,1360,54,775.0,531.0,54.0,102.7968296248369,62644.0,,3.970588235294118,84000054,USA,4735.003378689915,
Wisconsin,US,05-10-2020,May,2020-05-11 02:32:34,44.2685,-89.6165,10219,400,5014.0,4805.0,55.0,197.4849702516402,115382.0,1820.0,3.914277326548587,84000055,USA,2229.788710986862,17.80996183579607
Wyoming,US,05-10-2020,May,2020-05-11 02:32:34,42.756,-107.3025,662,7,443.0,212.0,56.0,133.1349046737994,12064.0,65.0,1.057401812688822,84000056,USA,2426.192583058483,9.818731117824774
Alabama,US,05-11-2020,May,2020-05-12 03:32:31,32.3182,-86.9023,10164,403,,9761.0,1.0,216.7673975350706,129444.0,1256.0,3.964974419519873,84000001,USA,2760.649252905321,12.3573396300669
Alaska,US,05-11-2020,May,2020-05-12 03:32:31,61.3707,-152.4044,379,10,328.0,41.0,2.0,63.40453936351211,28680.0,,2.638522427440633,84000002,USA,4798.000498537011,
American Samoa,US,05-11-2020,May,2020-05-12 03:32:31,-14.271,-170.132,0,0,,0.0,60.0,0.0,105.0,,,16,ASM,188.7097643823799,
Arizona,US,05-11-2020,May,2020-05-12 03:32:31,33.7298,-111.4312,11383,542,2852.0,7989.0,4.0,156.3874512499937,150241.0,1537.0,4.761486427128173,84000004,USA,2064.113771699051,13.50259158394096
Arkansas,US,05-11-2020,May,2020-05-12 03:32:31,34.9697,-92.3731,4043,94,3149.0,800.0,5.0,156.1590512574801,69030.0,480.0,2.325006183527084,84000005,USA,2666.252611502313,11.87237200098937
California,US,05-11-2020,May,2020-05-12 03:32:31,36.1162,-119.6816,69329,2779,,66550.0,6.0,176.8208113419957,991897.0,,4.008423603398288,84000006,USA,2529.793193435525,
Colorado,US,05-11-2020,May,2020-05-12 03:32:31,39.0598,-105.3111,19879,987,3076.0,15816.0,8.0,350.7968235408509,108790.0,3689.0,4.965038482821067,84000008,USA,1919.773954072597,18.5572714925298
