Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate,filename,Date,Month
Guam,US,24-07-2020 05:30,13.4443,144.7937,337,5,244,88,66,205.2012738,19464,,1.483679525,316,GUM,11851.7436,,07-23-2020.csv,07-23-2020,July
Hawaii,US,24-07-2020 05:30,21.0943,-157.4983,1490,26,1113,351,15,105.2355015,108813,154,1.744966443,84000015,USA,7685.228608,10.33557047,07-23-2020.csv,07-23-2020,July
Idaho,US,24-07-2020 05:30,44.2405,-114.4788,16737,138,4746,11853,16,936.5635833,156826,674,0.824520523,84000016,USA,8775.618122,4.027006035,07-23-2020.csv,07-23-2020,July
Illinois,US,24-07-2020 05:30,40.3495,-88.9861,168096,7560,,160536,17,1326.53389,2389368,,4.49743004,84000017,USA,18855.75877,,07-23-2020.csv,07-23-2020,July
Indiana,US,24-07-2020 05:30,39.8494,-86.2583,59602,2880,42603,14119,18,885.3247347,666283,8066,4.832052616,84000018,USA,9896.929972,13.53310292,07-23-2020.csv,07-23-2020,July
Iowa,US,24-07-2020 05:30,42.0115,-93.2105,40796,820,28924,11052,19,1293.029949,436286,,2.01000098,84000019,USA,13828.09256,,07-23-2020.csv,07-23-2020,July
Kansas,US,24-07-2020 05:30,38.5266,-96.7265,23956,322,1050,22584,20,822.2937864,268686,1545,1.344130907,84000020,USA,9222.692782,6.44932376,07-23-2020.csv,07-23-2020,July
Kentucky,US,24-07-2020 05:30,37.6681,-84.6701,25147,684,7046,17417,21,562.8657245,524795,2921,2.720006363,84000021,USA,11746.49532,11.61569969,07-23-2020.csv,07-23-2020,July
Louisiana,US,24-07-2020 05:30,31.1695,-91.8678,101650,3574,61456,36620,22,2186.588608,1174868,,3.515986227,84000022,USA,25272.53305,,07-23-2020.csv,07-23-2020,July
Maine,US,24-07-2020 05:30,44.6939,-69.3819,3737,118,3239,380,23,278.006743,147675,378,3.157613059,84000023,USA,10985.99031,10.11506556,07-23-2020.csv,07-23-2020,July
Maryland,US,24-07-2020 05:30,39.0639,-76.8021,80836,3409,5434,71993,24,1337.086978,789041,12037,4.217180464,84000024,USA,13051.31929,14.89064278,07-23-2020.csv,07-23-2020,July
Massachusetts,US,24-07-2020 05:30,42.2302,-71.5301,114647,8484,96452,9711,25,1663.357999,1070062,11761,7.400106414,84000025,USA,15525.01319,10.25844549,07-23-2020.csv,07-23-2020,July
Michigan,US,24-07-2020 05:30,43.3266,-84.5361,84431,6395,55162,22874,26,845.421137,1586724,,7.574232213,84000026,USA,15888.12176,,07-23-2020.csv,07-23-2020,July
Minnesota,US,24-07-2020 05:30,45.6945,-93.9002,48721,1601,42524,4596,27,863.9038859,905315,4818,3.286057347,84000027,USA,16052.73181,9.888959586,07-23-2020.csv,07-23-2020,July
Mississippi,US,24-07-2020 05:30,32.7416,-89.6787,48053,1436,30315,16302,28,1614.603301,404012,3878,2.988367011,84000028,USA,13574.99238,8.070255759,07-23-2020.csv,07-23-2020,July
Missouri,US,24-07-2020 05:30,38.4561,-92.2884,38060,1189,,36871,29,620.1294744,603284,,3.124014714,84000029,USA,9829.589854,,07-23-2020.csv,07-23-2020,July
Montana,US,24-07-2020 05:30,46.9219,-110.4544,2909,43,1587,1279,30,272.1800037,146218,183,1.478171193,84000030,USA,13680.85795,6.290821588,07-23-2020.csv,07-23-2020,July
Nebraska,US,24-07-2020 05:30,41.1254,-98.2681,23818,316,17499,6003,31,1231.281095,245573,1522,1.326727685,84000031,USA,12694.99506,6.390125115,07-23-2020.csv,07-23-2020,July
Nevada,US,24-07-2020 05:30,38.3135,-117.0554,39919,709,975,38235,32,1296.005787,414136,,1.776096596,84000032,USA,13445.29303,,07-23-2020.csv,07-23-2020,July
New Hampshire,US,24-07-2020 05:30,43.4525,-71.5639,6318,405,5341,572,33,464.6575633,146879,680,6.41025641,84000033,USA,10802.22194,10.76289965,07-23-2020.csv,07-23-2020,July
New Jersey,US,24-07-2020 05:30,40.2989,-74.521,177887,15730,31925,130232,34,2002.738063,1859638,21184,8.842692271,84000034,USA,20936.70593,11.9086836,07-23-2020.csv,07-23-2020,July
New Mexico,US,24-07-2020 05:30,34.8405,-106.2485,18163,596,6974,10593,35,866.2127431,489334,2470,3.281396245,84000035,USA,23336.8577,13.59907504,07-23-2020.csv,07-23-2020,July
New York,US,24-07-2020 05:30,42.1657,-74.9481,409697,32594,72466,304637,36,2106.02573,5368338,89995,7.955635506,84000036,USA,27595.65717,21.96623358,07-23-2020.csv,07-23-2020,July
North Carolina,US,24-07-2020 05:30,35.6301,-79.8064,107125,1756,78707,26662,37,1021.397235,1523675,,1.639206534,84000037,USA,14527.67731,,07-23-2020.csv,07-23-2020,July
North Dakota,US,24-07-2020 05:30,47.5289,-99.784,5493,97,4475,921,38,720.8074934,140816,322,1.765883852,84000038,USA,18478.28654,5.86200619,07-23-2020.csv,07-23-2020,July
Northern Mariana Islands,US,24-07-2020 05:30,15.0979,145.6739,38,2,29,7,69,68.9104889,11338,4,5.263157895,580,MNP,20560.71377,10.52631579,07-23-2020.csv,07-23-2020,July
Ohio,US,24-07-2020 05:30,40.3888,-82.7649,80186,3256,55702,21228,39,685.9895116,1245026,9968,4.0605592,84000039,USA,10651.17075,12.4310977,07-23-2020.csv,07-23-2020,July
Oklahoma,US,24-07-2020 05:30,35.5653,-96.9289,27969,477,22441,5051,40,706.8285312,513175,2596,1.705459616,84000040,USA,12968.88453,9.281704745,07-23-2020.csv,07-23-2020,July
Oregon,US,24-07-2020 05:30,44.572,-122.0709,15713,273,3509,11931,41,372.5457514,358491,1465,1.737414879,84000041,USA,8499.605357,9.323490104,07-23-2020.csv,07-23-2020,July
